date,exact value,value
27/08/2013,0.170914583,0.171
28/08/2013,0.168321875,0.168
29/08/2013,0.164592188,0.165
30/08/2013,0.166939583,0.167
31/08/2013,0.16228135,0.162
1/09/2013,0.177881771,0.178
2/09/2013,0.1819625,0.182
3/09/2013,0.187056771,0.187
4/09/2013,0.177491667,0.177
5/09/2013,0.170880031,0.171
6/09/2013,0.190917188,0.191
7/09/2013,0.17768125,0.178
8/09/2013,0.179255729,0.179
9/09/2013,0.196027604,0.196
10/09/2013,0.195074479,0.195
11/09/2013,0.195400521,0.195
12/09/2013,0.189661979,0.19
13/09/2013,0.200336979,0.2
14/09/2013,0.212165104,0.212
15/09/2013,0.230130729,0.23
16/09/2013,0.218410417,0.218
17/09/2013,0.223539063,0.224
18/09/2013,0.198811458,0.199
19/09/2013,0.206417708,0.206
20/09/2013,0.181651042,0.182
21/09/2013,0.182594271,0.183
22/09/2013,0.185509375,0.186
23/09/2013,0.178988021,0.179
24/09/2013,0.175389062,0.175
25/09/2013,0.174083333,0.174
26/09/2013,0.175203646,0.175
27/09/2013,0.179238021,0.179
28/09/2013,0.189782813,0.19
29/09/2013,0.190813542,0.191
30/09/2013,0.187286458,0.187
1/10/2013,0.198401549,0.198
2/10/2013,0.188651042,0.189
3/10/2013,0.193638021,0.194
4/10/2013,0.190617176,0.191
5/10/2013,0.184473437,0.184
6/10/2013,0.195009896,0.195
7/10/2013,0.191053646,0.191
8/10/2013,0.196710938,0.197
9/10/2013,0.196964584,0.197
10/10/2013,0.21294375,0.213
11/10/2013,0.223661979,0.224
12/10/2013,0.233444271,0.233
13/10/2013,0.244985937,0.245
14/10/2013,0.232796354,0.233
15/10/2013,0.224640625,0.225
16/10/2013,0.218534896,0.219
17/10/2013,0.20909375,0.209
18/10/2013,0.200813542,0.201
19/10/2013,0.216507292,0.217
20/10/2013,0.229131771,0.229
21/10/2013,0.205351042,0.205
22/10/2013,0.202507813,0.203
23/10/2013,0.205766146,0.206
24/10/2013,0.194670833,0.195
25/10/2013,0.198615625,0.199
26/10/2013,0.211577604,0.212
27/10/2013,0.22003125,0.22
